{'epoch': 75, 'loss': '0.09330356', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.915, 'AdvAcc': 0.514, 'RAvAcc': 0.913, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.913}
{'epoch': 76, 'loss': '0.08788209', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.917, 'AdvAcc': 0.514, 'RAvAcc': 0.917, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.917}
{'epoch': 77, 'loss': '0.08844231', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.915, 'AdvAcc': 0.516, 'RAvAcc': 0.914, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.917}
{'epoch': 78, 'loss': '0.08450849', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.913, 'AdvAcc': 0.521, 'RAvAcc': 0.912, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.917}
{'epoch': 79, 'loss': '0.08614349', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.916, 'AdvAcc': 0.522, 'RAvAcc': 0.915, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.917}
{'epoch': 80, 'loss': '0.08492383', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.921, 'AdvAcc': 0.52, 'RAvAcc': 0.919, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.919}
{'epoch': 81, 'loss': '0.08095037', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.923, 'AdvAcc': 0.513, 'RAvAcc': 0.923, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.923}
{'epoch': 82, 'loss': '0.08034660', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.927, 'AdvAcc': 0.516, 'RAvAcc': 0.925, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.925}
{'epoch': 83, 'loss': '0.07943144', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.923, 'AdvAcc': 0.519, 'RAvAcc': 0.925, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.925}
{'epoch': 84, 'loss': '0.07801787', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.923, 'AdvAcc': 0.513, 'RAvAcc': 0.922, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.925}
{'epoch': 85, 'loss': '0.07524657', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.928, 'AdvAcc': 0.513, 'RAvAcc': 0.928, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.928}
{'epoch': 86, 'loss': '0.07228687', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.925, 'AdvAcc': 0.515, 'RAvAcc': 0.924, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.928}
{'epoch': 87, 'loss': '0.07407263', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.928, 'AdvAcc': 0.513, 'RAvAcc': 0.931, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.931}
{'epoch': 88, 'loss': '0.07191356', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.973, 'RecAcc': 0.928, 'AdvAcc': 0.514, 'RAvAcc': 0.926, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.931}
{'epoch': 89, 'loss': '0.07066242', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.929, 'AdvAcc': 0.51, 'RAvAcc': 0.924, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.931}
